id,text,category,severity,lang
287,"A construction crane malfunctioned and is dangling precariously over a road.","INFRASTRUCTURE",4,"en"
288,"Report of illegal dumping of medical waste near a river.","OTHER",2,"en"
289,"A child has a broken arm after falling from a tree. Serious but not life-threatening.","MEDICAL",3,"en"
290,"Minor fender bender in the city center, no injuries, just a traffic delay.","TRAFFIC",1,"en"
291,"Smoke visible from a remote hillside. Unknown source, investigate.","FIRE",1,"en"
292,"Suspect trying to sell stolen goods (a **TV** and **radio**) on the street.","CRIME",1,"mix"
293,"የመንገድ መዘጋት በጎርፍ ምክንያት፣ መኪኖች ተመልሰዋል።","TRAFFIC",3,"am"
294,"A bridge pillar shows cracking and structural instability. High-risk infrastructure.","INFRASTRUCTURE",5,"en"
295,"Unconscious person found in a public restroom. Needs immediate medical help.","MEDICAL",5,"en"
296,"Small fire in a local restaurant kitchen, quickly put out by staff with an extinguisher.","FIRE",2,"en"
297,"A large group of people protesting without a permit, blocking a main road.","OTHER",2,"en"
298,"Two men fighting with broken bottles. Serious injury risk.","CRIME",4,"en"
299,"የባጃጅ አደጋ፣ አንድ ሰው አንገቱ ተጎድቷል።","TRAFFIC",3,"am"
300,"Minor power outage in a single office building due to a tripped breaker.","INFRASTRUCTURE",0,"en"
301,"Man collapsed at the **Hilton Hotel**, CPR in progress.","MEDICAL",5,"mix"
302,"House fire started by faulty wiring, contained to the upper floor.","FIRE",3,"en"
303,"Suspicious odor (possibly chemical) coming from an abandoned warehouse.","OTHER",2,"en"
304,"Armed robbery at a petrol station, attendant shot. Life-threatening.","CRIME",5,"en"
305,"Four-way stop sign damaged, causing confusion and near-misses.","TRAFFIC",2,"en"
306,"የውሃ ማጠራቀሚያ ገንዳ ፈረሰ፣ ትልቅ የውሃ ፍሰት እና የጎዳና ላይ መዘጋት።","INFRASTRUCTURE",4,"am"
307,"A tourist complained of severe diarrhea and vomiting, needs simple medical care.","MEDICAL",1,"en"
308,"Illegal street race causing extreme noise and posing danger to public.","TRAFFIC",3,"en"
309,"Kids playing with firecrackers, no damage done. Non-incident.","FIRE",0,"en"
310,"Man arrested for public intoxication and disorderly conduct.","CRIME",1,"en"
311,"የመንገድ መዘጋት በድንገተኛ ጊዜ **Lancha** አካባቢ።","TRAFFIC",3,"mix"
312,"A wall of an old house collapsed onto a sidewalk, no injuries reported.","INFRASTRUCTURE",3,"en"
313,"Patient having a seizure in the street. Needs urgent medical attention.","MEDICAL",5,"en"
314,"Large group gathered for a street party, music is too loud, minor complaint.","OTHER",0,"en"
315,"Attempted theft of a bicycle from a locked rack.","CRIME",1,"en"
316,"Fire in a garbage container near a school, quickly extinguished by staff.","FIRE",1,"en"
317,"የመኪና ብልሽት በድልድይ ላይ፣ ከፍተኛ ትራፊክ መዘጋት::","TRAFFIC",2,"am"
318,"A person suffering from heat exhaustion and dehydration. Needs rest and fluids.","MEDICAL",1,"en"
319,"Sewer line blockage causing backup into homes. Health hazard.","INFRASTRUCTURE",3,"en"
320,"Illegal weapons found during a routine police stop.","CRIME",4,"en"
321,"A large **eucalyptus** tree fell across the main power lines, causing long-term outage.","INFRASTRUCTURE",3,"mix"
322,"Elderly woman with broken hip after a fall. Needs transport.","MEDICAL",3,"en"
323,"Minor traffic jam due to a flat tire on a commercial truck.","TRAFFIC",1,"en"
324,"Suspicious drone flying low over restricted airspace.","OTHER",2,"en"
325,"Fire completely destroyed an abandoned building in **Kotebe**.","FIRE",4,"mix"
326,"Man caught stealing food items (e.g., **bread**) from a grocery store.","CRIME",1,"mix"
327,"የአንድ ሰው ህመም እና የንቃተ ህሊና መሳት፣ የህክምና እርዳታ አስፈላጊ ነው።","MEDICAL",5,"am"
328,"Minor two-car collision, drivers are arguing over fault.","TRAFFIC",0,"en"
329,"Cable TV lines cut due to theft of copper wire.","INFRASTRUCTURE",2,"en"
330,"Report of a cult gathering performing illegal rituals.","OTHER",3,"en"
331,"A person attacked with a knife during a mugging, serious injuries.","CRIME",4,"en"
332,"Smoke coming from the engine of a parked bus. Minor fire risk.","FIRE",2,"en"
333,"የሕፃን መታመም ከፍተኛ ትኩሳት አለው።","MEDICAL",3,"am"
334,"Traffic light completely non-functional at a major intersection.","TRAFFIC",2,"en"
335,"A power line is down on the street and is sparking. Highly hazardous.","INFRASTRUCTURE",5,"en"
336,"Woman locked herself out of her apartment, non-emergency assistance needed.","OTHER",1,"en"
337,"Attempted bank fraud reported; police are monitoring the suspects.","CRIME",2,"en"
338,"House fire quickly spreading to the next building.","FIRE",5,"en"
339,"Pedestrian hit by a **taxi** near **Gotera**, moderate injuries.","TRAFFIC",3,"mix"
340,"Man having difficulty breathing, needs immediate **Oxygen**.","MEDICAL",4,"mix"
341,"Fire alarm triggered by dust during maintenance. Non-incident.","FIRE",0,"en"
342,"Report of illegal gambling operation in a back alley.","CRIME",1,"en"
343,"የመብራት ማማ ወደቀ፣ ለብዙ ሰፈሮች የኃይል መቋረጥ።","INFRASTRUCTURE",3,"am"
344,"Group of people throwing rubbish into the river. Environmental hazard.","OTHER",1,"en"
345,"Three-car collision near **Bole** bridge, minor injuries reported.","TRAFFIC",3,"mix"
346,"Woman having a nervous breakdown in public, needs calm assistance.","MEDICAL",2,"en"
347,"Gas explosion leveled a small home, multiple casualties feared.","FIRE",5,"en"
348,"Suspect seen stealing a purse from a woman's shoulder.","CRIME",2,"en"
349,"የባቡር መስመር ተጎድቷል፣ የአገልግሎት መቋረጥ ተፈጥሯል።","INFRASTRUCTURE",4,"am"
350,"A person fell from a roof, unconscious and severely injured.","MEDICAL",5,"en"
351,"Minor traffic delay due to a broken-down truck.","TRAFFIC",1,"en"
352,"Children playing dangerously close to an open ditch. High risk.","OTHER",3,"en"
353,"Armed robbery reported near **Gerji**, suspects fled with a large sum of cash.","CRIME",4,"mix"
354,"A transformer blew up in Lideta, causing localized power outage and smoke.","INFRASTRUCTURE",3,"en"
355,"Smoke sighted from a factory chimney, appears normal operation.","FIRE",0,"en"
356,"Man complaining of persistent cough and fever, needs testing.","MEDICAL",1,"en"
357,"Minor accident, two cars bumped, no visible damage and no police needed.","TRAFFIC",0,"en"
358,"Shoplifting incident at a major supermarket, involving low-value goods.","CRIME",1,"en"
359,"Heavy flooding after continuous rain, affecting multiple roads and forcing evacuations.","INFRASTRUCTURE",5,"en"
360,"A dog was rescued from a drain, non-emergency service call.","OTHER",1,"en"
361,"Elderly man dehydrated and confused due to the heat. Needs immediate fluid replacement.","MEDICAL",3,"en"
362,"Fire in a residential area, limited to the fence and garden.","FIRE",2,"en"
363,"የጎረቤት አለመግባባት፣ ፖሊስ አስፈልጓል።","CRIME",2,"am"
364,"Small car went off the road and into a ditch, no major injuries.","TRAFFIC",2,"en"
365,"Illegal construction activity reported in a protected green zone.","OTHER",1,"en"
366,"A broken water pipe is flooding the road, causing minor traffic issues.","INFRASTRUCTURE",2,"en"
367,"A person with a broken leg after falling down stairs. Serious but stable.","MEDICAL",3,"en"
368,"A vehicle caught fire on the side of the road, total loss of the vehicle.","FIRE",4,"en"
369,"Attempted burglary at a warehouse, suspects fled empty-handed.","CRIME",2,"en"
370,"Traffic light malfunctioning, blinking red in all directions.","TRAFFIC",2,"en"
371,"Group of people causing disturbance in a public park, littering and shouting.","OTHER",1,"en"
372,"A wall collapsed on a man during demolition work. Critical injury.","INFRASTRUCTURE",5,"en"
373,"Woman gave birth unexpectedly at home, both mother and baby are stable but need transport.","MEDICAL",2,"en"
374,"Two vehicles sideswiped each other, no visible damage, just a verbal argument.","TRAFFIC",0,"en"
375,"Arrest made after a physical altercation at a local market.","CRIME",2,"en"
376,"A fire started in a large field and is moving towards the city.","FIRE",3,"en"
377,"የውሃ ቱቦ ፈንድቶ ጎርፍ አስከትሏል፣ የጠቅላላው ሰፈር መንገድ ተዘጋግቷል።","INFRASTRUCTURE",3,"am"
378,"A tourist complained of food poisoning, feeling weak but not critical.","MEDICAL",1,"en"
379,"Small child lost in a large market area. Non-incident, but needs police search.","OTHER",1,"en"
380,"Minor rear-end accident near **Sarbet**, just a small scratch.","TRAFFIC",1,"mix"
381,"Armed group took hostages inside a commercial bank. High-risk situation.","CRIME",5,"en"
382,"Smoke sighted from a factory chimney, appears normal operation.","FIRE",0,"en"
383,"Man suffering from severe chest pain and dizziness at a coffee shop.","MEDICAL",4,"en"
384,"A tree fell across the road near CMC, traffic is slowly diverting.","INFRASTRUCTURE",2,"en"
385,"Illegal street vendors blocking pedestrian traffic.","OTHER",0,"en"
386,"Small kitchen fire in a third-floor flat, fire suppression systems working.","FIRE",2,"en"
387,"A large truck lost its load of goods on the ring road, causing extreme congestion.","TRAFFIC",3,"en"
388,"Man caught stealing items from a delivery **truck**.","CRIME",1,"mix"
389,"Heavy landslide on a mountain road, blocking all access and creating isolation for villages.","INFRASTRUCTURE",5,"en"
390,"A woman is trapped in an elevator that stopped between floors.","INFRASTRUCTURE",2,"en"
391,"A person with diabetes is having a hypoglycemic episode, needs sugar.","MEDICAL",4,"en"
392,"Suspicious person loitering and watching cars in the parking lot. Police check needed.","CRIME",1,"en"
393,"Minor accident on the highway, just a flat tire and a little delay.","TRAFFIC",1,"en"
394,"የቤት ውስጥ እሳት በቀለለ፣ ሰዎች እየተለዩ ናቸው","FIRE",4,"am"
395,"Children playing loudly in the park after hours. Not an emergency.","OTHER",0,"en"
396,"Woman with severe bleeding after childbirth needs emergency transport.","MEDICAL",5,"en"
397,"Power pole leaning dangerously after being hit by a car, road closure enforced.","INFRASTRUCTURE",4,"en"
398,"Attempted car theft near **Sarbet**, the suspect was scared away by a security **guard**.","CRIME",2,"mix"
399,"Minor collision between a bus and a car, blocking two lanes.","TRAFFIC",3,"en"
400,"Smoke alarm going off in an empty warehouse, investigation needed.","FIRE",1,"en"
401,"A person with a massive cut on their arm needs stitches immediately.","MEDICAL",2,"en"
402,"Suspicious vehicle parked illegally for over 24 hours.","OTHER",0,"en"
403,"የሕገ-ወጥ የጦር መሳሪያ ዝውውር መረጃ ተደርሷል። ፖሊስ ምርመራ እያደረገ ነው።","CRIME",4,"am"
404,"Minor traffic congestion due to a ceremonial procession. Not an accident.","TRAFFIC",0,"en"
405,"A large fire engulfed an illegal waste dump site, huge amounts of toxic smoke.","FIRE",5,"en"
406,"Vandalism reported: graffiti sprayed on a bus stop shelter.","OTHER",1,"en"
407,"Road collapse due to heavy vehicle traffic, large infrastructure damage.","INFRASTRUCTURE",4,"en"
408,"Group of people throwing stones at vehicles from an overpass.","CRIME",3,"en"
409,"Man unconscious on the side of the road, unknown cause. Needs immediate medical help.","MEDICAL",5,"en"
410,"Two vehicles sideswiped each other, no visible damage, just a verbal argument.","TRAFFIC",0,"en"
411,"Fire alarm false activation due to steam in a laundry room.","FIRE",0,"en"
412,"Woman having a nervous breakdown in public, needs calm assistance.","MEDICAL",2,"en"
413,"A small power surge caused minor damage to electronics in a house.","INFRASTRUCTURE",1,"en"
414,"A vehicle was submerged in a deep puddle after heavy rain. Needs tow, no injuries.","OTHER",1,"en"
415,"Two cars involved in a head-on collision, one driver trapped.","TRAFFIC",4,"en"
416,"Suspicious person loitering and watching cars in the parking lot. Police check needed.","CRIME",1,"en"
417,"Huge wildfire approaching the city outskirts, life-threatening danger to nearby homes.","FIRE",5,"en"
418,"Group of teenagers spray painting government property downtown.","CRIME",1,"en"
419,"Man complaining of persistent cough and fever, needs testing.","MEDICAL",1,"en"
420,"Minor traffic obstruction due to illegally parked vehicle near **St. George** Church.","TRAFFIC",1,"mix"
421,"Children playing dangerously close to an open ditch. High risk.","OTHER",3,"en"
422,"A tourist complained of food poisoning, feeling weak but not critical.","MEDICAL",1,"en"
423,"Sewer line blockage causing backup into homes. Health hazard.","INFRASTRUCTURE",3,"en"
424,"Attempted bank fraud reported; police are monitoring the suspects.","CRIME",2,"en"
425,"Fire completely destroyed an abandoned building in **Kotebe**.","FIRE",4,"mix"
426,"Two vehicles involved in a head-on collision, one driver trapped.","TRAFFIC",4,"en"
427,"A large **eucalyptus** tree fell across the main power lines, causing long-term outage.","INFRASTRUCTURE",3,"mix"
428,"A child has a broken arm after falling from a tree. Serious but not life-threatening.","MEDICAL",3,"en"
429,"A large group of people protesting without a permit, blocking a main road.","OTHER",2,"en"
430,"Suspect found illegally manufacturing alcohol in a shed.","CRIME",1,"en"
431,"A wall of an old house collapsed onto a sidewalk, no injuries reported.","INFRASTRUCTURE",3,"en"
432,"Unattended cooking fire in a camp, quickly extinguished.","FIRE",1,"en"
433,"Elderly woman with broken hip after a fall. Needs transport.","MEDICAL",3,"en"
434,"Minor traffic delay due to a broken-down truck.","TRAFFIC",1,"en"
435,"Shots fired during a domestic dispute, no injuries confirmed yet.","CRIME",3,"en"
436,"Minor collision between a bus and a car, blocking two lanes.","TRAFFIC",3,"en"
437,"A construction crane malfunctioned and is dangling precariously over a road.","INFRASTRUCTURE",4,"en"
438,"A woman is trapped after a wall collapsed on her in a construction site. Critical.","INFRASTRUCTURE",5,"en"
439,"Man suffering from severe internal bleeding, needs immediate surgery.","MEDICAL",5,"en"
440,"Small fire in a garage, limited to one car.","FIRE",3,"en"
441,"Attempted kidnapping of a child near **Gofa**, thwarted by passersby.","CRIME",4,"mix"
442,"Minor two-car collision, drivers are arguing over fault.","TRAFFIC",0,"en"
443,"A person with a massive cut on their arm needs stitches immediately.","MEDICAL",2,"en"
444,"Large group gathered for a street party, music is too loud, minor complaint.","OTHER",0,"en"
445,"Gas leak in a school laboratory, immediate evacuation required.","FIRE",4,"en"
446,"Two cars involved in a head-on collision, one driver trapped.","TRAFFIC",4,"en"
447,"Cable TV lines cut due to theft of copper wire.","INFRASTRUCTURE",2,"en"
448,"A person fell from a roof, unconscious and severely injured.","MEDICAL",5,"en"
449,"Children playing dangerously close to an open ditch. High risk.","OTHER",3,"en"
450,"Illegal weapons found during a routine police stop.","CRIME",4,"en"
451,"Fire started on the 10th floor of a downtown office building, many people trapped.","FIRE",5,"en"
452,"Elderly woman collapsed in Merkato market, appears to be having breathing difficulty. Medical team needed urgently.","MEDICAL",4,"en"
453,"A group of thieves are breaking into vehicles in a parking garage.","CRIME",3,"en"
454,"Traffic jam caused by minor fender bender on Ring Road, no injuries.","TRAFFIC",1,"en"
455,"የኤሌክትሪክ ኃይል ገመድ ወድቋል፣ አደጋ ሊያስከትል ይችላል።","INFRASTRUCTURE",3,"am"
456,"A small dog was found wandering near a busy road. Non-incident.","OTHER",0,"en"
457,"ታካሚ ሰው በመንገድ ላይ ወድቆ ቀርቷል፣ እርዳታ ያስፈልጋል","MEDICAL",3,"am"
458,"Minor fire in a trash bin in Kazanchis, quickly contained. No major damage.","FIRE",1,"en"
459,"Attempted car theft near **Sarbet**, the suspect was scared away by a security guard.","CRIME",2,"mix"
460,"Major car crash near Bole bridge, two people trapped in the vehicle.","TRAFFIC",4,"en"
461,"Broken sewerage pipe spilling waste water onto the street. Health risk.","INFRASTRUCTURE",3,"en"
462,"A tourist complained of food poisoning, feeling weak but not critical.","MEDICAL",1,"en"
463,"Illegal street race causing extreme noise and posing danger to public.","TRAFFIC",3,"en"
464,"A woman is threatening self-harm on a bridge. Police and mental health support urgently required.","MEDICAL",4,"en"
465,"Man caught stealing food items (e.g., **bread**) from a grocery store.","CRIME",1,"mix"
466,"Suspicious package found outside the ministry building. The area is being evacuated.","OTHER",3,"en"
467,"Fire alarm false activation due to steam in a laundry room.","FIRE",0,"en"
468,"A wall collapsed on a man during demolition work. Critical injury.","INFRASTRUCTURE",5,"en"
469,"የመኪና ብልሽት በመንገድ ዳር፣ ቀላል መዘግየት ብቻ።","TRAFFIC",1,"am"
470,"Woman with severe bleeding after childbirth needs emergency transport.","MEDICAL",5,"en"
471,"A group of thieves stealing metal from a construction site.","CRIME",2,"en"
472,"Accidental rubbish fire, quickly put out with a bucket of water.","FIRE",1,"en"
473,"A large truck lost its load of goods on the ring road, causing extreme congestion.","TRAFFIC",3,"en"
474,"Road collapse due to heavy vehicle traffic, large infrastructure damage.","INFRASTRUCTURE",4,"en"
475,"A person with diabetes is having a hypoglycemic episode, needs sugar.","MEDICAL",4,"en"
476,"Unauthorized gathering of people blocking the road for a festival.","OTHER",0,"en"
477,"Armed robbery at a jewelery store, suspects are still on the scene.","CRIME",4,"en"
478,"House fire quickly spreading to the next building.","FIRE",5,"en"
479,"Minor traffic obstruction due to illegally parked vehicle near **St. George** Church.","TRAFFIC",1,"mix"
480,"የውሃ መቋረጥ በአንድ ሰፈር፣ ለብዙ ሰዓታት ቆይቷል::","INFRASTRUCTURE",2,"am"
481,"Man complaining of persistent cough and fever, needs testing.","MEDICAL",1,"en"
482,"A person is stuck in a drainage pipe. Non-life-threatening but needs rescue.","MEDICAL",3,"en"
483,"Gas leak reported in a high-rise apartment building. Fire hazard is critical.","FIRE",4,"en"
484,"Two vehicles sideswiped each other, no visible damage, just a verbal argument.","TRAFFIC",0,"en"
485,"Group of people throwing rubbish into the river. Environmental hazard.","OTHER",1,"en"
486,"Man arrested for public intoxication and disorderly conduct.","CRIME",1,"en"
487,"Heavy flooding after continuous rain, affecting multiple roads and forcing evacuations.","INFRASTRUCTURE",5,"en"
488,"Fire fully engulfing a small storage unit, risking neighbors' properties.","FIRE",4,"en"
489,"የመንገድ ዝርፊያ ሪፖርት ተደርጓል፣ አጥቂው በቢላዋ ነበር።","CRIME",3,"am"
490,"Bus and taxi collision near Stadium, few minor injuries reported.","TRAFFIC",3,"en"
491,"Patient needs urgent psychiatric evaluation after threatening family.","MEDICAL",3,"en"
492,"Loud construction noise outside permitted hours. Non-incident.","OTHER",0,"en"
493,"Small electrical fire in the basement of a commercial building, already contained.","FIRE",2,"en"
494,"A tree fell across the road near CMC, traffic is slowly diverting.","INFRASTRUCTURE",2,"en"
495,"A person fell from a roof, unconscious and severely injured.","MEDICAL",5,"en"
496,"Attempted bank fraud reported; police are monitoring the suspects.","CRIME",2,"en"
497,"Minor rear-end collision, cars pulled over to the side of the road.","TRAFFIC",1,"en"
498,"የሕንፃ አደጋ፣ በርካታ ሰዎች ሊኖሩ ይችላሉ።","INFRASTRUCTURE",5,"am"
499,"A child has a broken arm after falling from a tree. Serious but not life-threatening.","MEDICAL",3,"en"
500,"Dispute over loud music at a wedding party. Noise complaint.","OTHER",0,"en"
501,"A person attacked with a knife during a mugging, serious injuries.","CRIME",4,"en"
502,"Fire started in a remote area, currently contained but approaching a nearby village.","FIRE",3,"en"
503,"Minor two-car collision, drivers are arguing over fault.","TRAFFIC",0,"en"
504,"Woman experiencing severe panic attack and hyperventilation.","MEDICAL",2,"en"
505,"Illegal street vendor blocking pedestrian traffic.","OTHER",0,"en"
506,"Minor power outage in a single office building due to a tripped breaker.","INFRASTRUCTURE",0,"en"
507,"Shots heard in the **Bole** area, police are investigating a possible break-in.","CRIME",3,"mix"
508,"Smoke coming from the engine of a parked bus. Minor fire risk.","FIRE",2,"en"
509,"A large hole opened in the road, looks like a major sinkhole starting.","INFRASTRUCTURE",4,"en"
510,"A group of 10 people fighting on the street, multiple minor injuries.","CRIME",2,"en"
511,"Man having difficulty breathing, needs immediate **Oxygen**.","MEDICAL",4,"mix"
512,"Minor traffic delay due to a broken-down truck.","TRAFFIC",1,"en"
513,"Unattended cooking fire in a camp, quickly extinguished.","FIRE",1,"en"
514,"Group of people throwing stones at vehicles from an overpass.","CRIME",3,"en"
515,"A person is stuck in a drainage pipe. Non-life-threatening but needs rescue.","MEDICAL",3,"en"
516,"Bus rolled over on a mountain road, multiple casualties and critical scene.","TRAFFIC",5,"en"
517,"የቴሌኮም ገመድ ተቆርጧል፣ የኢንተርኔት አገልግሎት በአካባቢው ቆሟል።","INFRASTRUCTURE",2,"am"
518,"A large, aggressive dog loose in a public park, threatening passersby.","OTHER",2,"en"
519,"Massive fire engulfing a large factory complex, huge economic damage.","FIRE",5,"en"
520,"Pedestrian was grazed by a speeding taxi near Sarbet, minor bruises reported.","TRAFFIC",2,"en"
521,"A person with a massive cut on their arm needs stitches immediately.","MEDICAL",2,"en"
522,"Armed robbery at a petrol station, attendant shot. Life-threatening.","CRIME",5,"en"
523,"A power line is down on the street and is sparking. Highly hazardous.","INFRASTRUCTURE",5,"en"
524,"Suspicious drone flying low over restricted airspace.","OTHER",2,"en"
525,"Minor traffic delay due to a broken-down truck.","TRAFFIC",1,"en"
526,"Small kitchen fire in a third-floor flat, fire suppression systems working.","FIRE",2,"en"
527,"A tourist complained of food poisoning, feeling weak but not critical.","MEDICAL",1,"en"
528,"Suspect seen trying to pickpocket in a crowded area.","CRIME",1,"en"
529,"A large truck lost its load of goods on the ring road, causing extreme congestion.","TRAFFIC",3,"en"
530,"A woman is trapped in an elevator that stopped between floors.","INFRASTRUCTURE",2,"en"
531,"A person fell from a roof, unconscious and severely injured.","MEDICAL",5,"en"
532,"የቤት ውስጥ እሳት በቀለለ፣ ሰዎች እየተለዩ ናቸው","FIRE",4,"am"
533,"Unattended cooking fire in a camp, quickly extinguished.","FIRE",1,"en"
534,"A group of thieves are breaking into vehicles in a parking garage.","CRIME",3,"en"
535,"Four-way stop sign damaged, causing confusion and near-misses.","TRAFFIC",2,"en"
536,"የውሃ ማጠራቀሚያ ገንዳ ፈረሰ፣ ትልቅ የውሃ ፍሰት እና የጎዳና ላይ መዘጋት።","INFRASTRUCTURE",4,"am"
537,"A person with diabetes is having a hypoglycemic episode, needs sugar.","MEDICAL",4,"en"
538,"A wall of an old house collapsed onto a sidewalk, no injuries reported.","INFRASTRUCTURE",3,"en"
539,"Attempted car theft near **Sarbet**, the suspect was scared away by a security guard.","CRIME",2,"mix"
540,"Minor accident on the highway, just a flat tire and a little delay.","TRAFFIC",1,"en"
541,"Elderly woman with broken hip after a fall. Needs transport.","MEDICAL",3,"en"
542,"Fire started on the 10th floor of a downtown office building, many people trapped.","FIRE",5,"en"
543,"A small dog was found wandering near a busy road. Non-incident.","OTHER",0,"en"
544,"Group of people throwing rubbish into the river. Environmental hazard.","OTHER",1,"en"
545,"Minor fender bender in the city center, no injuries, just a traffic delay.","TRAFFIC",1,"en"
546,"Fire in a residential area, limited to the fence and garden.","FIRE",2,"en"
547,"Man suffering from severe chest pain and dizziness at a coffee shop.","MEDICAL",4,"en"
548,"Illegal gambling operation reported in a back alley.","CRIME",1,"en"
549,"A person with a broken leg after falling down stairs. Serious but stable.","MEDICAL",3,"en"
550,"Cable TV lines cut due to theft of copper wire.","INFRASTRUCTURE",2,"en"
551,"Minor traffic obstruction due to illegally parked vehicle near **St. George** Church.","TRAFFIC",1,"mix"
552,"A construction crane malfunctioned and is dangling precariously over a road.","INFRASTRUCTURE",4,"en"
553,"Unconscious person found in a public restroom. Needs immediate medical help.","MEDICAL",5,"en"
554,"A teenager fainted at a school event due to dehydration. Minor, needs water.","MEDICAL",1,"en"
555,"Small electrical fire in the basement of a commercial building, already contained.","FIRE",2,"en"
556,"Children playing dangerously close to an open ditch. High risk.","OTHER",3,"en"
557,"A group of people fighting on the street, police intervention needed.","CRIME",2,"en"
558,"Huge wildfire approaching the city outskirts, life-threatening danger to nearby homes.","FIRE",5,"en"
559,"A person fell from a roof, unconscious and severely injured.","MEDICAL",5,"en"
560,"Major car crash near Bole bridge, two people trapped in the vehicle.","TRAFFIC",4,"en"
561,"House fire quickly spreading to the next building.","FIRE",5,"en"
562,"Attempted kidnapping of a child near **Gofa**, thwarted by passersby.","CRIME",4,"mix"
563,"Vandalism reported: graffiti sprayed on a bus stop shelter.","OTHER",1,"en"
564,"Road collapse due to heavy vehicle traffic, large infrastructure damage.","INFRASTRUCTURE",4,"en"
565,"Woman having a nervous breakdown in public, needs calm assistance.","MEDICAL",2,"en"
566,"Minor rear-end collision, cars pulled over to the side of the road.","TRAFFIC",1,"en"
567,"Gas leak reported in a high-rise apartment building. Fire hazard is critical.","FIRE",4,"en"
568,"Shots fired during a domestic dispute, no injuries confirmed yet.","CRIME",3,"en"
569,"የሕገ-ወጥ የጦር መሳሪያ ዝውውር መረጃ ተደርሷል። ፖሊስ ምርመራ እያደረገ ነው።","CRIME",4,"am"
570,"የመኪና ብልሽት በመንገድ ዳር፣ ቀላል መዘግየት ብቻ።","TRAFFIC",1,"am"
571,"Suspicious vehicle parked illegally for over 24 hours.","OTHER",0,"en"
572,"A wall of an old house collapsed onto a sidewalk, no injuries reported.","INFRASTRUCTURE",3,"en"
573,"Elderly man dehydrated and confused due to the heat. Needs immediate fluid replacement.","MEDICAL",3,"en"
574,"A large truck lost its load of goods on the ring road, causing extreme congestion.","TRAFFIC",3,"en"
575,"A person with diabetes is having a hypoglycemic episode, needs sugar.","MEDICAL",4,"en"
576,"Minor two-car collision, drivers are arguing over fault.","TRAFFIC",0,"en"
577,"Smell of burning rubber near a market, traced to an overheated vehicle, no fire.","FIRE",0,"en"
578,"Suspect found illegally manufacturing alcohol in a shed.","CRIME",1,"en"
579,"Large scale flooding in the lower parts of the city, requiring mass evacuation.","INFRASTRUCTURE",5,"en"
580,"Unauthorized gathering of people blocking the road for a festival.","OTHER",0,"en"
581,"Man complaining of persistent cough and fever, needs testing.","MEDICAL",1,"en"
582,"Fire started in a remote area, currently contained but approaching a nearby village.","FIRE",3,"en"
583,"Four-car pileup near **Megenagna**, multiple injured, ambulance on scene.","TRAFFIC",4,"mix"
584,"A person with a broken leg after falling down stairs. Serious but stable.","MEDICAL",3,"en"
585,"A power line is down on the street and is sparking. Highly hazardous.","INFRASTRUCTURE",5,"en"
586,"A group of thieves are breaking into vehicles in a parking garage.","CRIME",3,"en"
587,"Minor traffic obstruction due to illegally parked vehicle near **St. George** Church.","TRAFFIC",1,"mix"
588,"Man caught stealing food items (e.g., **bread**) from a grocery store.","CRIME",1,"mix"
589,"Illegal street vendor blocking pedestrian traffic.","OTHER",0,"en"
590,"House fire quickly spreading to the next building.","FIRE",5,"en"
591,"A woman is threatening self-harm on a bridge. Police and mental health support urgently required.","MEDICAL",4,"en"
592,"Major car crash near Bole bridge, two people trapped in the vehicle.","TRAFFIC",4,"en"
593,"A transformer blew up in Lideta, causing localized power outage and smoke.","INFRASTRUCTURE",3,"en"
594,"Loud construction noise outside permitted hours. Non-incident.","OTHER",0,"en"
595,"Fire completely destroyed an abandoned building in **Kotebe**.","FIRE",4,"mix"
596,"Attempted car theft near **Sarbet**, the suspect was scared away by a security guard.","CRIME",2,"mix"
597,"Pedestrian was grazed by a speeding taxi near Sarbet, minor bruises reported.","TRAFFIC",2,"en"
598,"A person with a massive cut on their arm needs stitches immediately.","MEDICAL",2,"en"
599,"Cable TV lines cut due to theft of copper wire.","INFRASTRUCTURE",2,"en"
600,"Suspicious drone flying low over restricted airspace.","OTHER",2,"en"
601,"A dog was rescued from a drain, non-emergency service call.","OTHER",1,"en"
602,"Gas leak reported in a high-rise apartment building. Fire hazard is critical.","FIRE",4,"en"
603,"A person fell from a roof, unconscious and severely injured.","MEDICAL",5,"en"
604,"Group of people throwing stones at vehicles from an overpass.","CRIME",3,"en"
605,"A simple parking violation causing minor inconvenience.","TRAFFIC",0,"en"
606,"የውሃ ቱቦ ፈንድቶ ጎርፍ አስከትሏል፣ የጠቅላላው ሰፈር መንገድ ተዘጋግቷል።","INFRASTRUCTURE",3,"am"
607,"Elderly woman with broken hip after a fall. Needs transport.","MEDICAL",3,"en"
608,"Fire started on the 10th floor of a downtown office building, many people trapped.","FIRE",5,"en"
609,"Man suffering from severe chest pain and dizziness at a coffee shop.","MEDICAL",4,"en"
610,"A large hole opened in the road, looks like a major sinkhole starting.","INFRASTRUCTURE",4,"en"
611,"Minor two-car collision, drivers are arguing over fault.","TRAFFIC",0,"en"
612,"Illegal gambling operation reported in a back alley.","CRIME",1,"en"
613,"Small electrical fire in the basement of a commercial building, already contained.","FIRE",2,"en"
614,"Woman having a nervous breakdown in public, needs calm assistance.","MEDICAL",2,"en"
